#RIC,ISIN,CUSIP,SEDOL,GICS,Exchange,Name,Type,Currency,First Date,Last Date,Expiry Date,Strike Price,Options Type,Maturity,Coupon,Bond,Rating,PE Code,Underlying RIC,New RIC Symbol,Release Cycle
14766.LU,N/P,N/A,N/A,N/A,LUX,MOL MAGYAR OLAJ->MOL->MOLNyrt ADR->MOLNYRT ADR,113,USD->XXX->USD,20070929,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,MOLB.BU,,2
NBG.LU,GRS003013000->GRS003003019,N/A,N/A,N/A,LUX,NATL BK GREECE->NatlBkGreece n->NATL BK GREECE,113,LUF->EUR,19960106,20151203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,NBGr.AT,,2
ORCO.LU,LU0122624777,N/A,N/A,N/A,LUX,ORCPROPG,113,EUR,20151001,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,ORCO.PA->ORCO.LU,,2
PSMG_p.IB,N/A,N/A,N/A,N/A,GER,PRO 7 MEDIA VZ,113->229->113->229,DEM,19970707,19980222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2432->0->2432->0,N/A,,0
PSMG.LU,DE000PSM7770->DE0007771172->DE000PSM7770,N/A,N/A,N/A,LUX,PRO7SAT1 NE,113,EUR,20130814,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,PSMG_p.DE->PSMGn.DE,,2
REIT.LU,LU0383812293,N/A,N/A,N/A,LUX,REINET INVEST->ReinetIn->REINETIN,113,EUR,20081014,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,REIT.LU,,2
RBEN.LU,NL0000289783,N/A,N/A,N/A,LUX,ROBECO->Robeco p+n->ROBECO->Robeco->ROBECO,113,LUF->EUR,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,RBEN.AS,,2
RKET.LU,DE000A12UKK6,N/A,N/A,N/A,LUX,ROCKET INTERNET->ROCKETI,113,EUR,20160923,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5365,RKET.DE,,2
RLIN.LU,NL0000289817,N/A,N/A,N/A,LUX,ROLINCO->Rolinco ord p+n->ROLINCO->Rolinco ord->ROLINCO ORD,113,LUF->EUR,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,RLIN.AS,,2
AUDK.LU,LU0061462528,N/A,N/A,N/A,LUX,->RTLGroup p+n (n->RTL GROUP->RTLGROUP->RTLGroup->RTLGROUP,113,LUF->EUR,19960106,20180426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114->5365->0->5365,->RRTL.DE->AUDK.LU->RRTL.DE->AUDK.LU->RRTL.DE,,2
